Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Paul Dirac,USA,Physics,196,Quantum Electrodynamics,1937,Male,Dirac Equation,Nobel Prize,Ph.D. in Astronomy,Laid the groundwork for modern computing
Leonardo da Vinci,UK,Mathematics,175,Discovery of Radium and Polonium,1911,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Stephen Hawking,Germany,Mathematics,180,Theory of Evolution,1974,Male,Vitruvian Man,Two Nobel Prizes,Ph.D. in Astronomy,Pioneering research in radioactivity
Stephen Hawking,UK,Physics,132,"AC Electricity, Tesla Coil",1901,Male,Notes on the Analytical Engine,Numerous Posthumous,Ph.D. in Mathematics,Pioneering research in radioactivity
Niels Bohr,USA,Physics,162,Cosmos Series,1975,Female,Dirac Equation,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Max Planck,UK,Astronomy,185,Nuclear Reactor,1992,Female,Cosmos,Nobel Prize,University of Pisa,Foundational work in quantum mechanics
Ada Lovelace,UK,Biology,142,Wave Equation,1930,Female,E=mc²,Copley Medal,Ph.D. in Physics,Revolutionized modern physics
Alan Turing,UK,Physics,168,Heliocentric Theory,1906,Male,Cosmos,Nobel Prize,Ph.D.,Foundation of classical mechanics
Enrico Fermi,UK,Physics,193,Discovery of Radium and Polonium,1930,Male,Fermi Paradox,Nobel Prize,Ph.D. in Mathematics,Popularizing science and cosmology
Marie Curie,UK,Mathematics,137,Father of Computer Science,1908,Male,Dirac Equation,N/A,Self-taught,Major advancements in astronomy
Michael Faraday,USA,Astronomy,139,Theory of Relativity,1976,Female,Dirac Equation,Nobel Prize,University of Pisa,Foundation of classical mechanics
Charles Darwin,UK,Physics,169,Quantum Theory,1978,Female,Bohr Model,Nobel Prize,Ph.D. in Physics,Penrose's work on black holes and cosmology
Marie Curie,USA,Physics,164,Heliocentric Theory,1961,Male,Discovery of Electromagnetic Induction,Numerous Honors,Ph.D. in Physics,Unified theory of electromagnetism
Niels Bohr,UK,Mathematics,194,General Theory of Relativity,1924,Female,Vitruvian Man,N/A,Ph.D. in Chemistry,Foundational work in quantum mechanics
Alan Turing,Austria,Mathematics,139,Discovery of Radium and Polonium,1927,Female,On Computable Numbers,Royal Medal,Ph.D. in Chemistry,Foundational work in quantum mechanics
Carl Sagan,UK,Mathematics,193,Heliocentric Theory,1910,Male,Various Patents,Copley Medal,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Carl Sagan,Italy,Astronomy,177,Quantum Mechanics,1939,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Chemistry,Discovery of electromagnetic induction
Stephen Hawking,UK,Physics,184,Heliocentric Theory,1971,Female,Cosmos,Numerous Posthumous,Ph.D. in Physics,Iconic Renaissance artist and inventor
Stephen Hawking,UK,Engineering,154,Wave Equation,1932,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Paul Dirac,Italy,Engineering,157,First computer algorithm,1994,Female,Fermi Paradox,Nobel Prize,Self-taught,Early pioneer of computer science
Alan Turing,Denmark,Chemistry,183,"Mona Lisa, The Last Supper, Inventions",1973,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Chemistry,Wave mechanics in quantum physics
Stephen Hawking,USA,Polymath,153,General Theory of Relativity,1927,Male,On the Origin of Species,Numerous Honors,Ph.D. in Physics,Foundational work in quantum mechanics
Niels Bohr,UK,Physics,136,Quantum Electrodynamics,1996,Female,Dirac Equation,Nobel Prize,University of Pisa,Foundational work in quantum mechanics
Stephen Hawking,UK,Mathematics,175,Quantum Theory,1946,Male,Penrose Diagram,Numerous Posthumous,Ph.D. in Physics,Wave mechanics in quantum physics
Stephen Hawking,USA,Physics,139,Heliocentric Theory,1959,Female,E=mc²,N/A,Self-taught,Early pioneer of computer science
Galileo Galilei,Italy,Mathematics,163,Theory of Evolution,1949,Male,Feynman Lectures,Nobel Prize,Self-taught,Inventor and electrical engineering pioneer
Roger Penrose,Italy,Physics,193,Heliocentric Theory,1902,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Charles Darwin,UK,Mathematics,200,First computer algorithm,1953,Female,Research on radioactivity,Royal Medal,Ph.D. (honorary),Iconic Renaissance artist and inventor
Galileo Galilei,USA,Physics,172,Quantum Electrodynamics,1983,Male,Theory of Electromagnetism,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Roger Penrose,UK,Physics,150,Electromagnetic Induction,1929,Female,Cosmos,Copley Medal,Ph.D. in Physics,Major advancements in astronomy
Richard Feynman,UK,Engineering,191,First computer algorithm,1947,Female,Penrose Diagram,Numerous Posthumous,Ph.D. in Mathematics,Laid the groundwork for modern computing
Nikola Tesla,UK,Physics,130,Quantum Theory,1902,Male,Dirac Equation,Pulitzer Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Stephen Hawking,USA,Physics,134,First computer algorithm,1904,Female,Research on radioactivity,Numerous Posthumous,Ph.D. in Physics,Discovery of electromagnetic induction
Roger Penrose,Italy,Chemistry,199,Wave Equation,1965,Male,A Brief History of Time,Nobel Prize,Ph.D.,Foundational work in quantum mechanics
Erwin Schrödinger,UK,Physics,195,Quantum Mechanics,1960,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,University of Pisa,Penrose's work on black holes and cosmology
Leonardo da Vinci,USA,Astronomy,130,Electromagnetic Induction,1944,Male,Fermi Paradox,Numerous Honors,Ph.D. in Physics,Popularizing science and cosmology
Alan Turing,USA,Astronomy,165,Wave Equation,1971,Male,On Computable Numbers,Nobel Prize,Ph.D. in Physics,Foundation of classical mechanics
Galileo Galilei,Italy,Physics,136,Quantum Theory,1912,Female,Various Patents,N/A,Ph.D. in Chemistry,Evolutionary biology pioneer
Paul Dirac,UK,Mathematics,167,Quantum Mechanics,1976,Female,Research on radioactivity,Nobel Prize,University of Pisa,Inventor and electrical engineering pioneer
Enrico Fermi,Denmark,Physics,167,General Theory of Relativity,1959,Male,E=mc²,Copley Medal,Self-taught,Laid the groundwork for modern computing
James Clerk Maxwell,France,Mathematics,132,Quantum Theory,1943,Male,Dirac Equation,Nobel Prize,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Galileo Galilei,USA,Mathematics,199,Heliocentric Theory,1997,Female,Bohr Model,Nobel Prize,Ph.D. (honorary),Revolutionized modern physics
James Clerk Maxwell,Italy,Physics,200,Theory of Evolution,1990,Male,Various Patents,Nobel Prize,University of Pisa,Foundation of classical mechanics
James Clerk Maxwell,Italy,Physics,176,Discovery of Radium and Polonium,1992,Male,Schrödinger Equation,Nobel Prize,University of Pisa,Inventor and electrical engineering pioneer
Michael Faraday,Italy,Chemistry,178,Heliocentric Theory,1966,Female,On Computable Numbers,Copley Medal,University of Cambridge,Iconic Renaissance artist and inventor
Charles Darwin,UK,Polymath,171,Heliocentric Theory,1947,Male,Quantum Theory,N/A,Ph.D.,Early pioneer of computer science
Max Planck,Italy,Physics,134,First computer algorithm,1923,Male,On Computable Numbers,N/A,Ph.D. in Physics,Popularizing science and cosmology
Enrico Fermi,Italy,Biology,159,Quantum Electrodynamics,1996,Male,On the Origin of Species,Numerous Posthumous,Ph.D. in Astronomy,Quantum electrodynamics and physics teaching
Leonardo da Vinci,Denmark,Astronomy,174,Electromagnetic Theory,1923,Female,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Self-taught,Discovery of electromagnetic induction
Enrico Fermi,Denmark,Engineering,175,Cosmos Series,1964,Female,Fermi Paradox,Two Nobel Prizes,University of Pisa,Nuclear physics and reactor development
Stephen Hawking,USA,Physics,143,Theory of Relativity,1971,Male,Discovery of Electromagnetic Induction,N/A,Self-taught,Pioneering research in radioactivity
Erwin Schrödinger,Austria,Astronomy,172,Quantum Theory,1912,Female,Cosmos,Royal Medal,Ph.D. (honorary),Nuclear physics and reactor development
Albert Einstein,UK,Polymath,171,Electromagnetic Induction,1921,Male,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. (honorary),Evolutionary biology pioneer
James Clerk Maxwell,UK,Physics,167,First computer algorithm,1910,Male,Quantum Theory,Numerous Posthumous,Self-taught,Foundational work in quantum mechanics
Enrico Fermi,UK,Physics,160,Electromagnetic Theory,1906,Female,E=mc²,Nobel Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Charles Darwin,Italy,Physics,131,Discovery of Radium and Polonium,1989,Male,Notes on the Analytical Engine,N/A,University of Pisa,Quantum electrodynamics and physics teaching
Albert Einstein,France,Chemistry,131,General Theory of Relativity,1954,Female,Theory of Electromagnetism,Two Nobel Prizes,Self-taught,Quantum electrodynamics and physics teaching
Paul Dirac,Italy,Physics,178,Electromagnetic Theory,1948,Male,Schrödinger Equation,N/A,Ph.D. (honorary),Early pioneer of computer science
Enrico Fermi,USA,Mathematics,189,Laws of Motion,1920,Male,Cosmos,Copley Medal,Ph.D. in Mathematics,Foundation of classical mechanics
Leonardo da Vinci,Italy,Chemistry,189,Electromagnetic Theory,1967,Female,Dirac Equation,Nobel Prize,Ph.D. in Mathematics,Revolutionized modern physics
Ada Lovelace,France,Mathematics,166,Nuclear Reactor,1952,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Self-taught,Developed quantum theory
Nikola Tesla,UK,Biology,164,Wave Equation,1958,Female,Philosophiæ Naturalis Principia Mathematica,Pulitzer Prize,Self-taught,Inventor and electrical engineering pioneer
Ada Lovelace,UK,Physics,159,Nuclear Reactor,1909,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Charles Darwin,USA,Physics,148,Black Hole Theory,1936,Male,Schrödinger Equation,Nobel Prize,Self-taught,Foundational work in quantum mechanics
Roger Penrose,UK,Engineering,130,Cosmos Series,1951,Female,Cosmos,Pulitzer Prize,Self-taught,Popularizing science and cosmology
Ada Lovelace,UK,Physics,187,"Mona Lisa, The Last Supper, Inventions",1921,Male,Discovery of Electromagnetic Induction,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
Albert Einstein,Italy,Polymath,191,Theory of Relativity,1957,Female,Bohr Model,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
Albert Einstein,Italy,Astronomy,156,General Theory of Relativity,1961,Female,Vitruvian Man,Numerous Posthumous,Ph.D. in Physics,Unified theory of electromagnetism
Isaac Newton,Denmark,Physics,186,Quantum Mechanics,1908,Female,Fermi Paradox,Nobel Prize,Ph.D.,Early pioneer of computer science
Isaac Newton,France,Physics,173,Electromagnetic Theory,1949,Female,Penrose Diagram,N/A,Self-taught,Laid the groundwork for modern computing
Albert Einstein,USA,Physics,190,Theory of Relativity,1998,Female,Feynman Lectures,N/A,Self-taught,Nuclear physics and reactor development
Alan Turing,UK,Physics,175,Father of Computer Science,1950,Male,On Computable Numbers,Numerous Honors,Ph.D. in Physics,Revolutionized modern physics
Ada Lovelace,USA,Physics,155,Discovery of Radium and Polonium,1960,Female,Vitruvian Man,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Richard Feynman,UK,Mathematics,167,Discovery of Radium and Polonium,1946,Male,Discovery of Electromagnetic Induction,N/A,Self-taught,Evolutionary biology pioneer
Paul Dirac,USA,Mathematics,184,Father of Computer Science,1972,Male,Schrödinger Equation,N/A,Ph.D. in Chemistry,Contributions to cosmology and quantum gravity
Isaac Newton,USA,Mathematics,187,Quantum Electrodynamics,1996,Female,Quantum Theory,N/A,Self-taught,Inventor and electrical engineering pioneer
Erwin Schrödinger,France,Biology,152,First computer algorithm,1907,Female,Bohr Model,N/A,Self-taught,Unified theory of electromagnetism
Leonardo da Vinci,UK,Mathematics,155,Quantum Electrodynamics,1928,Female,Various Patents,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Albert Einstein,UK,Astronomy,161,Electromagnetic Theory,1976,Female,Cosmos,N/A,Ph.D. in Astronomy,Major advancements in astronomy
Michael Faraday,France,Physics,199,Electromagnetic Theory,1900,Male,Penrose Diagram,Numerous Honors,Ph.D. (honorary),Developed quantum theory
Richard Feynman,USA,Mathematics,165,Electromagnetic Theory,1922,Male,A Brief History of Time,Two Nobel Prizes,Ph.D. in Mathematics,Revolutionized modern physics
Carl Sagan,France,Physics,178,First computer algorithm,1979,Female,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Developed quantum theory
Charles Darwin,UK,Physics,189,Quantum Electrodynamics,1971,Male,Quantum Theory,N/A,Ph.D. (honorary),Laid the groundwork for modern computing
Ada Lovelace,Denmark,Chemistry,169,Wave Equation,1987,Male,Fermi Paradox,Nobel Prize,Self-taught,Unified theory of electromagnetism
Isaac Newton,UK,Physics,185,Quantum Electrodynamics,1990,Female,On the Origin of Species,Two Nobel Prizes,Ph.D. in Physics,Foundational work in quantum mechanics
Erwin Schrödinger,Austria,Astronomy,173,First computer algorithm,1923,Female,Cosmos,Numerous Posthumous,Ph.D. in Physics,Popularizing science and cosmology
Charles Darwin,USA,Physics,165,Electromagnetic Induction,1988,Female,Penrose Diagram,Nobel Prize,Self-taught,Contributions to cosmology and quantum gravity
Niels Bohr,Italy,Physics,193,Black Hole Theory,1921,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Erwin Schrödinger,UK,Biology,180,Quantum Mechanics,1979,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Wave mechanics in quantum physics
Charles Darwin,USA,Physics,158,Theory of Relativity,1922,Female,Vitruvian Man,Nobel Prize,Ph.D. in Mathematics,Popularizing science and cosmology
Michael Faraday,UK,Engineering,200,Theory of Evolution,1908,Female,Dialogue Concerning the Two Chief World Systems,Copley Medal,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Charles Darwin,Germany,Physics,179,Cosmos Series,1925,Female,Penrose Diagram,N/A,University of Pisa,Foundational work in quantum mechanics
Alan Turing,USA,Engineering,134,Nuclear Reactor,1935,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Michael Faraday,USA,Astronomy,150,Nuclear Reactor,1980,Female,Bohr Model,Numerous Honors,University of Pisa,Developed quantum theory
Galileo Galilei,UK,Astronomy,151,Laws of Motion,1969,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Richard Feynman,Italy,Physics,181,Theory of Relativity,1997,Female,Research on radioactivity,Royal Medal,Ph.D. in Chemistry,Iconic Renaissance artist and inventor
Leonardo da Vinci,UK,Astronomy,176,"Mona Lisa, The Last Supper, Inventions",1974,Male,Dialogue Concerning the Two Chief World Systems,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
Max Planck,Italy,Physics,138,First computer algorithm,1943,Male,Discovery of Electromagnetic Induction,N/A,Self-taught,Developed quantum theory
Paul Dirac,USA,Physics,156,Wave Equation,1900,Male,Schrödinger Equation,Pulitzer Prize,Ph.D. in Physics,Foundation of classical mechanics
Carl Sagan,Germany,Engineering,177,Quantum Mechanics,1954,Female,On Computable Numbers,Numerous Posthumous,Ph.D. in Physics,Laid the groundwork for modern computing
Isaac Newton,UK,Mathematics,154,Cosmos Series,1954,Male,Various Patents,N/A,Self-taught,Revolutionized modern physics
Galileo Galilei,Italy,Astronomy,131,Theory of Relativity,1913,Female,On Computable Numbers,Numerous Honors,Self-taught,Iconic Renaissance artist and inventor
Niels Bohr,UK,Astronomy,135,"Mona Lisa, The Last Supper, Inventions",1997,Female,Discovery of Electromagnetic Induction,N/A,University of Pisa,Contributions to cosmology and quantum gravity
Michael Faraday,USA,Physics,141,Laws of Motion,1950,Male,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Evolutionary biology pioneer
Enrico Fermi,UK,Mathematics,152,Quantum Mechanics,1925,Male,E=mc²,N/A,Ph.D. in Chemistry,Popularizing science and cosmology
Erwin Schrödinger,Italy,Mathematics,190,Quantum Mechanics,1912,Female,Theory of Electromagnetism,N/A,Ph.D. in Mathematics,Developed quantum theory
Enrico Fermi,UK,Chemistry,167,General Theory of Relativity,1940,Female,Fermi Paradox,Numerous Honors,Ph.D. (honorary),Iconic Renaissance artist and inventor
Niels Bohr,UK,Chemistry,143,Cosmos Series,1960,Female,E=mc²,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
Enrico Fermi,USA,Astronomy,155,"Mona Lisa, The Last Supper, Inventions",1958,Male,Theory of Electromagnetism,Royal Medal,Self-taught,Popularizing science and cosmology
Stephen Hawking,UK,Physics,178,Black Hole Theory,1938,Female,Discovery of Electromagnetic Induction,N/A,Ph.D. in Astronomy,Evolutionary biology pioneer
Erwin Schrödinger,UK,Physics,175,Cosmos Series,1947,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Ada Lovelace,UK,Physics,134,Theory of Evolution,1975,Male,Schrödinger Equation,Nobel Prize,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Erwin Schrödinger,UK,Mathematics,191,Quantum Theory,1923,Male,Theory of Electromagnetism,Pulitzer Prize,Ph.D. in Astronomy,Foundational work in quantum mechanics
